Duration,Unique viewers,Site visits,ICB
Last 7 days,11,76,BOB
Last 30 days,40,780,BOB
Last 90 days,-,1865,BOB
All time,166,10888,BOB
Last 7 days,5,29,Frimley
Last 30 days,17,738,Frimley
Last 90 days,-,1230,Frimley
All time,41,2572,Frimley
Last 7 days,18,63,HIOW
Last 30 days,49,727,HIOW
Last 90 days,-,1713,HIOW
All time,196,12606,HIOW
Last 7 days,10,31,Somerset
Last 30 days,23,352,Somerset
Last 90 days,-,706,Somerset
All time,62,1968,Somerset
Last 7 days,5,19,Sussex
Last 30 days,18,131,Sussex
Last 90 days,-,273,Sussex
All time,85,2374,Sussex
